origin,hour,model,actual,forecast,error,abs_error
2024-05-17,2024-05-17 05:00:00,weekday_hour_profile,985.0,699.3684210526316,285.63157894736844,285.63157894736844
2024-05-17,2024-05-17 06:00:00,weekday_hour_profile,2744.0,2012.6842105263158,731.3157894736842,731.3157894736842
2024-05-17,2024-05-17 07:00:00,weekday_hour_profile,6360.0,4288.263157894737,2071.7368421052633,2071.7368421052633
2024-05-17,2024-05-17 08:00:00,weekday_hour_profile,9113.0,6235.0,2878.0,2878.0
2024-05-17,2024-05-17 09:00:00,weekday_hour_profile,7386.0,4847.684210526316,2538.315789473684,2538.315789473684
2024-05-17,2024-05-17 10:00:00,weekday_hour_profile,6135.0,3848.8947368421054,2286.1052631578946,2286.1052631578946
2024-05-17,2024-05-17 11:00:00,weekday_hour_profile,6621.0,4126.684210526316,2494.315789473684,2494.315789473684
2024-05-17,2024-05-17 12:00:00,weekday_hour_profile,7686.0,4683.736842105263,3002.2631578947367,3002.2631578947367
2024-05-17,2024-05-17 13:00:00,weekday_hour_profile,8234.0,5044.315789473684,3189.684210526316,3189.684210526316
2024-05-17,2024-05-17 14:00:00,weekday_hour_profile,9531.0,6021.789473684211,3509.210526315789,3509.210526315789
2024-05-17,2024-05-17 15:00:00,weekday_hour_profile,10731.0,6785.526315789473,3945.4736842105267,3945.4736842105267
2024-05-17,2024-05-17 16:00:00,weekday_hour_profile,11733.0,7394.526315789473,4338.473684210527,4338.473684210527
2024-05-17,2024-05-17 17:00:00,weekday_hour_profile,13727.0,8662.894736842105,5064.105263157895,5064.105263157895
2024-05-17,2024-05-17 18:00:00,weekday_hour_profile,12682.0,7838.736842105263,4843.263157894737,4843.263157894737
2024-05-17,2024-05-17 19:00:00,weekday_hour_profile,10355.0,5777.736842105263,4577.263157894737,4577.263157894737
2024-05-17,2024-05-17 20:00:00,weekday_hour_profile,7738.0,3920.315789473684,3817.684210526316,3817.684210526316
2024-05-17,2024-05-17 21:00:00,weekday_hour_profile,5631.0,2998.4210526315787,2632.5789473684213,2632.5789473684213
2024-05-17,2024-05-17 22:00:00,weekday_hour_profile,4745.0,2574.9473684210525,2170.0526315789475,2170.0526315789475
2024-05-17,2024-05-17 23:00:00,weekday_hour_profile,4390.0,2134.9473684210525,2255.0526315789475,2255.0526315789475
2024-05-17,2024-05-17 00:00:00,seasonal_lag_blend,1809.0,1245.75,563.25,563.25
2024-05-17,2024-05-17 01:00:00,seasonal_lag_blend,1004.0,665.728947368421,338.271052631579,338.271052631579
2024-05-17,2024-05-17 02:00:00,seasonal_lag_blend,641.0,304.87368421052633,336.12631578947367,336.12631578947367
2024-05-17,2024-05-17 03:00:00,seasonal_lag_blend,382.0,190.23157894736843,191.76842105263157,191.76842105263157
2024-05-17,2024-05-17 04:00:00,seasonal_lag_blend,378.0,210.02894736842106,167.97105263157894,167.97105263157894
2024-05-17,2024-05-17 05:00:00,seasonal_lag_blend,985.0,605.4394736842105,379.5605263157895,379.5605263157895
2024-05-17,2024-05-17 06:00:00,seasonal_lag_blend,2744.0,1973.5947368421052,770.4052631578948,770.4052631578948
2024-05-17,2024-05-17 07:00:00,seasonal_lag_blend,6360.0,4435.171052631579,1924.8289473684208,1924.8289473684208
2024-05-17,2024-05-17 08:00:00,seasonal_lag_blend,9113.0,6140.5,2972.5,2972.5
2024-05-17,2024-05-17 09:00:00,seasonal_lag_blend,7386.0,4582.494736842105,2803.5052631578947,2803.5052631578947
2024-05-17,2024-05-17 10:00:00,seasonal_lag_blend,6135.0,3673.9315789473685,2461.0684210526315,2461.0684210526315
2024-05-17,2024-05-17 11:00:00,seasonal_lag_blend,6621.0,4105.444736842105,2515.555263157895,2515.555263157895
2024-05-17,2024-05-17 12:00:00,seasonal_lag_blend,7686.0,4626.428947368421,3059.571052631579,3059.571052631579
2024-05-17,2024-05-17 13:00:00,seasonal_lag_blend,8234.0,5247.2052631578945,2986.7947368421055,2986.7947368421055
2024-05-17,2024-05-17 14:00:00,seasonal_lag_blend,9531.0,6101.313157894737,3429.686842105263,3429.686842105263
2024-05-17,2024-05-17 15:00:00,seasonal_lag_blend,10731.0,6789.542105263157,3941.4578947368427,3941.4578947368427
2024-05-17,2024-05-17 16:00:00,seasonal_lag_blend,11733.0,6812.642105263158,4920.357894736842,4920.357894736842
2024-05-17,2024-05-17 17:00:00,seasonal_lag_blend,13727.0,8304.531578947368,5422.468421052632,5422.468421052632
2024-05-17,2024-05-17 18:00:00,seasonal_lag_blend,12682.0,8004.028947368421,4677.971052631579,4677.971052631579
2024-05-17,2024-05-17 19:00:00,seasonal_lag_blend,10355.0,5398.428947368421,4956.571052631579,4956.571052631579
2024-05-17,2024-05-17 20:00:00,seasonal_lag_blend,7738.0,3761.305263157895,3976.694736842105,3976.694736842105
2024-05-17,2024-05-17 21:00:00,seasonal_lag_blend,5631.0,2903.773684210526,2727.226315789474,2727.226315789474
2024-05-17,2024-05-17 22:00:00,seasonal_lag_blend,4745.0,2634.1157894736843,2110.8842105263157,2110.8842105263157
2024-05-17,2024-05-17 23:00:00,seasonal_lag_blend,4390.0,2257.1157894736843,2132.8842105263157,2132.8842105263157
2024-05-17,2024-05-17 00:00:00,calendar_lag_ridge,1809.0,2169.276667716005,-360.2766677160048,360.2766677160048
2024-05-17,2024-05-17 01:00:00,calendar_lag_ridge,1004.0,1482.4697759804553,-478.4697759804553,478.4697759804553
2024-05-17,2024-05-17 02:00:00,calendar_lag_ridge,641.0,1051.3930959463871,-410.3930959463871,410.3930959463871
2024-05-17,2024-05-17 03:00:00,calendar_lag_ridge,382.0,977.2849260575505,-595.2849260575505,595.2849260575505
2024-05-17,2024-05-17 04:00:00,calendar_lag_ridge,378.0,1051.7667699207364,-673.7667699207364,673.7667699207364
2024-05-17,2024-05-17 05:00:00,calendar_lag_ridge,985.0,1392.9711568031532,-407.97115680315324,407.97115680315324
