hour,rides,day_of_week,hour_of_day,day_name,is_weekend,trend_24h,trend_168h,seasonal_expected,seasonal_component,seasonal_residual,residual_robust_z
2024-01-06 01:00:00,770.0,5,1,Saturday,True,2857.7916666666665,2727.315476190476,668.0,-1866.6276881720432,102.0,0.10186717768444721
2024-01-06 02:00:00,490.0,5,2,Saturday,True,2892.875,2716.25,427.0,-2107.6276881720432,63.0,0.03424471079604821
2024-01-06 03:00:00,300.0,5,3,Saturday,True,2894.625,2699.535714285714,283.75,-2250.8776881720432,16.25,-0.04681555399966085
2024-01-06 04:00:00,221.0,5,4,Saturday,True,2794.5416666666665,2679.6488095238096,213.0,-2321.6276881720432,8.0,-0.06112030661066833
2024-01-06 05:00:00,242.0,5,5,Saturday,True,2628.6666666666665,2655.845238095238,235.25,-2299.3776881720432,6.75,-0.06328769336991188
2024-01-06 06:00:00,648.0,5,6,Saturday,True,2403.875,2624.125,566.25,-1968.3776881720432,81.75,0.06675551218470158
2024-01-06 07:00:00,1183.0,5,7,Saturday,True,2204.1666666666665,2596.0238095238096,1064.75,-1469.8776881720432,118.25,0.13004320555461346
2024-01-06 08:00:00,2011.0,5,8,Saturday,True,2059.5,2576.4761904761904,2014.25,-520.3776881720432,-3.25,-0.08062678744386034
2024-01-06 09:00:00,3106.0,5,9,Saturday,True,1968.7916666666667,2562.1726190476193,2954.5,419.87231182795676,151.5,0.1876956933504921
2024-01-06 10:00:00,3741.0,5,10,Saturday,True,1896.9583333333333,2551.4761904761904,3920.5,1385.8723118279568,-179.5,-0.38622832049720196
2024-01-06 11:00:00,4499.0,5,11,Saturday,True,1839.25,2543.9761904761904,4755.75,2221.1223118279568,-256.75,-0.5201728222184538
2024-01-06 12:00:00,4756.0,5,12,Saturday,True,1801.8333333333333,2538.910714285714,4805.25,2270.6223118279568,-49.25,-0.16038662018402328
2024-01-06 13:00:00,4962.0,5,13,Saturday,True,1774.6666666666667,2536.0,4958.75,2424.1223118279568,3.25,-0.06935637629579385
2024-01-06 14:00:00,4733.0,5,14,Saturday,True,1755.25,2534.684523809524,4996.25,2461.6223118279568,-263.25,-0.5314432333665203
2024-01-06 15:00:00,3137.0,5,15,Saturday,True,1745.75,2534.0178571428573,4567.75,2033.1223118279568,-1430.75,-2.5557824665000033
2024-01-06 16:00:00,1954.0,5,16,Saturday,True,1741.0416666666667,2533.8988095238096,4054.75,1520.1223118279568,-2100.75,-3.7175017694545502
2024-01-06 17:00:00,1288.0,5,17,Saturday,True,1736.9583333333333,2534.089285714286,3306.75,772.1223118279568,-2018.75,-3.5753211980481727
2024-01-06 18:00:00,1010.0,5,18,Saturday,True,1730.125,2533.9285714285716,2873.5,338.87231182795676,-1863.5,-3.3061317625501228
2024-01-06 19:00:00,776.0,5,19,Saturday,True,1713.9583333333333,2535.065476190476,2431.75,-102.87768817204324,-1655.75,-2.9459120831638437
2024-01-06 20:00:00,676.0,5,20,Saturday,True,1675.4583333333333,2539.1071428571427,1879.75,-654.8776881720432,-1203.75,-2.162185031021373
2024-01-06 21:00:00,432.0,5,21,Saturday,True,1622.2916666666667,2546.815476190476,1509.75,-1024.8776881720432,-1077.75,-1.9437124456896226
2024-01-06 22:00:00,501.0,5,22,Saturday,True,1544.0833333333333,2550.809523809524,1349.5,-1185.1276881720432,-848.5,-1.5462137140443541
2024-01-06 23:00:00,669.0,5,23,Saturday,True,1456.25,2551.589285714286,1291.25,-1243.3776881720432,-622.25,-1.1539167106212702
2024-01-07 00:00:00,487.0,6,0,Sunday,True,1327.2083333333333,2550.5773809523807,986.5,-1548.1276881720432,-499.5,-0.9410793308635528
2024-01-07 01:00:00,304.0,6,1,Sunday,True,1207.25,2549.1785714285716,615.5,-1919.1276881720432,-311.5,-0.6151043622733217
